case_id,final_status,notes
00039,MISSING_VARS,missing: ['S2']
00040,MISSING_VARS,missing: ['S2']
00182,MISSING_VARS,missing: ['S2']
00184,MISSING_VARS,missing: ['S2']
00531,MISSING_VARS,missing: ['S1']
00532,MISSING_VARS,missing: ['S1']
00533,GROSS_MISMATCH,"max_rel_err=0.22168822064039845, worst_var=S2"
00534,GROSS_MISMATCH,"max_rel_err=0.22169282226133025, worst_var=S2"
00535,MISSING_VARS,missing: ['S4']
00536,GROSS_MISMATCH,"max_rel_err=7.645808119848043, worst_var=X1"
00537,GROSS_MISMATCH,"max_rel_err=0.8887389498779728, worst_var=T"
00538,GROSS_MISMATCH,"max_rel_err=0.9946386937986877, worst_var=S3"
00539,PASS,"compartment-rule family; resolved via direct internal-state verification, see verify_compartment_defect.py"
00540,PASS,"compartment-rule family; resolved via direct internal-state verification, see verify_compartment_defect.py"
00541,PASS,"compartment-rule family; resolved via direct internal-state verification, see verify_compartment_defect.py"
00542,PASS,"compartment-rule family; resolved via direct internal-state verification, see verify_compartment_defect.py"
00543,MISSING_VARS,missing: ['S1']
00544,PASS,"compartment-rule family; resolved via direct internal-state verification, see verify_compartment_defect.py"
00545,PASS,"compartment-rule family; resolved via direct internal-state verification, see verify_compartment_defect.py"
00546,MISSING_VARS,missing: ['S4']
00547,PASS,"compartment-rule family; resolved via direct internal-state verification, see verify_compartment_defect.py"
00548,GROSS_MISMATCH,"compartment-rule family; resolved via direct internal-state verification, see verify_compartment_defect.py"
00549,MISSING_VARS,"missing: ['X0', 'S1']"
00550,MISSING_VARS,"missing: ['X1', 'S1']"
00551,MISSING_VARS,missing: ['S1']
00552,MISSING_VARS,"missing: ['S2', 'S4']"
00553,MISSING_VARS,"missing: ['S3', 'S4']"
00554,MISSING_VARS,missing: ['S4']
00555,MISSING_VARS,"missing: ['S1', 'S2']"
00556,MISSING_VARS,"missing: ['S4', 'S5']"
00557,MISSING_VARS,missing: ['S1']
00558,MISSING_VARS,missing: ['S1']
00559,MISSING_VARS,missing: ['S4']
00560,MISSING_VARS,missing: ['S4']
00565,MISSING_VARS,missing: ['S1']
00566,MISSING_VARS,missing: ['S4']
00567,MISSING_VARS,missing: ['S1']
00568,MISSING_VARS,missing: ['S1']
00569,GROSS_MISMATCH,"max_rel_err=0.3218662958714967, worst_var=S2"
00570,GROSS_MISMATCH,"max_rel_err=0.22169282226133025, worst_var=S2"
00571,MISSING_VARS,missing: ['S1']
00572,MISSING_VARS,missing: ['S1']
00573,MISSING_VARS,missing: ['p4']
00574,MISSING_VARS,missing: ['p4']
00575,GROSS_MISMATCH,"max_rel_err=0.22140019406885164, worst_var=p2"
00576,MISSING_VARS,missing: ['p4']
00613,MISSING_VARS,missing: ['S1']
00614,MISSING_VARS,missing: ['S1']
00615,MISSING_VARS,missing: ['S1']
00628,MISSING_VARS,missing: ['S1']
00629,MISSING_VARS,missing: ['S1']
00630,MISSING_VARS,missing: ['S1']
